iter	Passed	Remaining
0	2	218
1	3	182
2	5	168
3	8	194
4	10	208
5	12	192
6	13	179
7	14	169
8	16	161
9	17	154
10	18	148
11	20	147
12	21	142
13	22	139
14	23	134
15	25	132
16	26	127
17	27	125
18	29	125
19	30	122
20	31	119
21	33	117
22	34	115
23	35	113
24	36	110
25	38	108
26	39	105
27	40	103
28	41	100
29	42	98
30	43	97
31	44	95
32	45	93
33	47	91
34	48	90
35	49	88
36	51	87
37	52	85
38	53	84
39	54	82
40	56	81
41	56	78
42	58	77
43	59	75
44	60	73
45	61	72
46	62	70
47	63	69
48	65	67
49	66	66
50	67	65
51	68	63
52	70	62
53	71	60
54	71	58
55	73	57
56	74	56
57	75	54
58	76	53
59	77	51
60	79	50
61	80	49
62	81	47
63	82	46
64	84	45
65	85	43
66	86	42
67	87	41
68	88	39
69	89	38
70	91	37
71	92	35
72	93	34
73	94	33
74	95	31
75	96	30
76	98	29
77	99	28
78	100	26
79	101	25
80	102	24
81	103	22
82	104	21
83	106	20
84	107	18
85	108	17
86	109	16
87	110	15
88	111	13
89	112	12
90	113	11
91	115	10
92	116	8
93	117	7
94	118	6
95	119	4
96	120	3
97	121	2
98	122	1
99	123	0
